model,L1,rmse,pearson,Model
baseline_open_xx,es,1.2060841866514214,0.7873063484454521,
baseline_open_xx,de,1.1486658737533606,0.800390009388446,
baseline_open_xx,cn,1.0213964262014543,0.8042396463775818,
exp7_open_xlmr_features_textual,es,1.8686165395552343,0.41650108741210307,
exp7_open_xlmr_features_textual,de,1.7827607242621195,0.4313124574281465,
exp7_open_xlmr_features_textual,cn,1.6324866695318772,0.5209771994683581,
,es,1.8686165395552343,0.41650108741210307,Strategy A (XLM-RoBERTa+Features)
,de,1.7827607242621195,0.4313124574281465,Strategy A (XLM-RoBERTa+Features)
,cn,1.6324866695318772,0.5209771994683581,Strategy A (XLM-RoBERTa+Features)
